macro_trade_id,macro_entry_time,macro_entry_price,macro_exit_time,macro_exit_price,macro_holding_duration,macro_dollar_pnl,macro_percentage_return
1,2026-01-11 23:59:59,91013.65,2026-01-16 11:59:59,95429.09,108.0,4415.440000000002,4.851404157508245
2,2026-01-23 15:59:59,89761.61,2026-01-24 03:59:59,89770.02,12.0,8.410000000003492,0.009369261536199599
3,2026-01-27 15:59:59,88047.46,2026-01-29 15:59:59,84934.02,48.0,-3113.4400000000023,-3.5360929207952188
4,2026-02-03 07:59:59,78794.67,2026-02-03 23:59:59,75770.21,16.0,-3024.459999999992,-3.8384068364014876
5,2026-02-07 11:59:59,67972.65,2026-02-10 07:59:59,68919.66,68.0,947.0100000000093,1.3932221268407359
6,2026-02-13 23:59:59,68853.96,2026-02-16 07:59:59,68587.9,56.0,-266.0600000000122,-0.3864120524077514
7,2026-02-20 15:59:59,67582.95,2026-02-22 23:59:59,67643.4,56.0,60.44999999999709,0.08944563680632037
8,2026-02-25 15:59:59,67412.33,2026-02-27 19:59:59,65392.18,52.0,-2020.1500000000015,-2.996706982239008
9,2026-03-01 11:59:59,66468.03,2026-03-06 15:59:59,68504.71,124.0,2036.6800000000076,3.064149787499355
10,2026-03-09 19:59:59,68991.93,2026-03-14 19:59:59,70700.0,120.0,1708.070000000007,2.4757533236133664
11,2026-03-15 11:59:59,71839.42,2026-03-18 15:59:59,71467.82,76.0,-371.59999999999127,-0.5172647551998488
12,2026-03-21 15:59:59,70630.02,2026-03-22 03:59:59,69339.99,12.0,-1290.0299999999988,-1.8264613262179437
13,2026-03-23 23:59:59,70906.45,2026-03-26 11:59:59,69276.01,60.0,-1630.4400000000023,-2.2994241003463047
14,2026-03-30 07:59:59,67624.39,2026-04-02 11:59:59,66220.28,76.0,-1404.1100000000006,-2.0763366590072025
15,2026-04-04 15:59:59,67383.66,2026-04-12 11:59:59,71468.55,188.0,4084.8899999999994,6.062137319344184
16,2026-04-14 03:59:59,74444.43,2026-04-19 07:59:59,75252.34,124.0,807.9100000000035,1.0852524493773457
17,2026-04-21 03:59:59,75710.3,2026-04-24 19:59:59,77628.85,88.0,1918.550000000003,2.5340673593949608
18,2026-04-26 15:59:59,78049.0,2026-04-27 23:59:59,77371.32,32.0,-677.679999999993,-0.8682750579763905
19,2026-05-01 03:59:59,77131.08,2026-05-07 15:59:59,79890.63,156.0,2759.550000000003,3.577740646183099
20,2026-05-09 19:59:59,80938.53,2026-05-12 19:59:59,80834.64,72.0,-103.88999999999942,-0.1283566677081971
21,2026-05-15 03:59:59,81059.15,2026-05-15 23:59:59,79113.21,20.0,-1945.9399999999878,-2.4006420003170374
22,2026-05-20 15:59:59,77455.46,2026-05-22 19:59:59,75860.44,52.0,-1595.020000000004,-2.0592738071660848
23,2026-05-24 15:59:59,76371.59,2026-05-26 19:59:59,76052.0,52.0,-319.5899999999965,-0.4184671289415298
24,2026-05-30 19:59:59,74016.65,2026-06-01 07:59:59,72818.0,36.0,-1198.6499999999942,-1.6194329248891894
25,2026-06-07 15:59:59,62093.99,2026-06-09 19:59:59,62098.09,52.0,4.099999999998545,0.006602893452326939
26,2026-06-11 11:59:59,63108.0,2026-06-17 11:59:59,64810.01,144.0,1702.010000000002,2.6969797806934177
27,2026-06-20 15:59:59,64160.04,2026-06-23 11:59:59,62507.06,68.0,-1652.9800000000032,-2.576338792806244
28,2026-06-27 19:59:59,60175.95,2026-06-28 19:59:59,59481.79,24.0,-694.1599999999962,-1.1535505463561377
29,2026-07-02 03:59:59,61058.0,2026-07-08 11:59:59,62299.99,152.0,1241.989999999998,2.034115103671915
30,2026-07-10 03:59:59,63947.2,2026-07-12 23:59:59,63780.0,68.0,-167.1999999999971,-0.26146570921009377
