Metric,Value
Net Dollar P&L,219.66
Buy & Hold Dollar P&L,-23818.01
Difference (Strategy - Buy & Hold),24037.67
Total Trades,30.0
Win Rate (%),43.33
Loss Rate (%),56.67
Profit Factor,1.01
Average Win ($),1668.85
Average Loss ($),1263.26
Risk-Reward Ratio,1.32
Average Winning Duration (hrs),107.08
Average Losing Duration (hrs),48.24
