open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume,ignore
2026-01-01 00:00:00,87648.21000000,87849.26000000,87632.74000000,87809.23000000,233.66036000,2026-01-01 00:59:59,20507946.76093620,44782,150.35907000,13196771.53402980,0
2026-01-01 01:00:00,87809.24000000,88050.00000000,87809.23000000,87960.00000000,241.44162000,2026-01-01 01:59:59,21231160.06277100,63768,142.20649000,12504473.26760890,0
2026-01-01 02:00:00,87960.01000000,88088.10000000,87895.37000000,87914.00000000,209.55860000,2026-01-01 02:59:59,18436281.02955480,59893,107.33226000,9443167.91392290,0
2026-01-01 03:00:00,87914.00000000,88015.70000000,87832.09000000,87846.02000000,149.08354000,2026-01-01 03:59:59,13108299.08260810,46780,68.74735000,6045057.14578280,0
2026-01-01 04:00:00,87846.01000000,87854.81000000,87550.43000000,87590.40000000,476.17901000,2026-01-01 04:59:59,41725137.06427970,93385,200.12394000,17534889.37496580,0
2026-01-01 05:00:00,87590.41000000,87749.34000000,87590.40000000,87704.39000000,283.17436000,2026-01-01 05:59:59,24830402.27595660,48725,136.36138000,11956319.93295970,0
2026-01-01 06:00:00,87704.39000000,87704.39000000,87636.29000000,87658.00000000,123.89656000,2026-01-01 06:59:59,10860587.44199240,18851,60.61160000,5312992.82471230,0
2026-01-01 07:00:00,87658.01000000,87673.01000000,87596.00000000,87631.88000000,225.27492000,2026-01-01 07:59:59,19745338.31272190,33974,113.28858000,9929665.88069260,0
2026-01-01 08:00:00,87631.88000000,87811.13000000,87631.87000000,87770.90000000,285.21745000,2026-01-01 08:59:59,25024046.86917810,57693,157.96273000,13858232.61639190,0
2026-01-01 09:00:00,87770.89000000,87965.25000000,87751.82000000,87877.99000000,210.22963000,2026-01-01 09:59:59,18471190.01410230,44691,80.34111000,7058023.48927900,0
2026-01-01 10:00:00,87877.99000000,87883.80000000,87799.17000000,87863.76000000,128.07380000,2026-01-01 10:59:59,11252542.92880640,31910,38.12771000,3349448.31278270,0
2026-01-01 11:00:00,87863.75000000,88024.64000000,87859.36000000,88024.64000000,196.30405000,2026-01-01 11:59:59,17262331.28654730,43344,91.96330000,8087324.23174030,0
2026-01-01 12:00:00,88024.64000000,88036.42000000,87925.28000000,87950.00000000,200.13556000,2026-01-01 12:59:59,17610151.07326850,45595,87.99841000,7742694.70625500,0
2026-01-01 13:00:00,87950.00000000,88019.82000000,87860.66000000,87922.64000000,155.72883000,2026-01-01 13:59:59,13697277.36691990,47498,60.77944000,5345543.53374210,0
2026-01-01 14:00:00,87922.63000000,87970.59000000,87810.66000000,87967.05000000,390.01531000,2026-01-01 14:59:59,34278913.34602350,75629,214.88805000,18885395.76170500,0
2026-01-01 15:00:00,87967.05000000,88113.45000000,87916.39000000,88032.18000000,260.01234000,2026-01-01 15:59:59,22882904.62675530,82662,153.69594000,13526204.47604840,0
2026-01-01 16:00:00,88032.17000000,88048.70000000,87879.03000000,87988.76000000,189.99476000,2026-01-01 16:59:59,16712664.43765220,65072,86.02896000,7567080.49372690,0
2026-01-01 17:00:00,87988.77000000,88500.00000000,87976.00000000,88316.37000000,476.08554000,2026-01-01 17:59:59,42041928.08863820,131127,255.52771000,22560754.29911370,0
